Location_ID,sensor_name,sensor_description,latitude,longitude,total_pedestrians,avg_hourly_count,days_observed,hours_observed,nearest_toilet,nearest_distance_m,nearest_wheelchair,nearest_baby_change,toilets_within_300m,wheelchair_toilets_within_300m,baby_change_toilets_within_300m,toilets_within_500m,wheelchair_toilets_within_500m,baby_change_toilets_within_500m,demand_rank,demand_level,access_gap_level,priority_score,priority_group
131,King2_T,I-Hub Corner of King Street and Flinders Street (2-6 King),-37.82009057,144.95758725,111574,156.7,30,712,Public Toilet - Toilet 169 - Batman Park (2A Spencer Street),253.0,yes,no,1,1,0,3,3,0,67,Medium demand,Moderate distance,49.3,Lower priority
134,Spen201_T,I-Hub Southern Cross Station - Bourke Street Entrance - North,-37.81694221,144.95303935,384707,537.3,30,716,Public Toilet - Toilet 1 - Lonsdale Street (Opposite 581 Lonsdale Street),341.6,yes,no,0,0,0,1,1,0,27,High demand,Longer distance,84.5,High priority
143,Spencer_T,"Mounted on Toilet - Spencer Street, Batman Park",-37.821728,144.95557015,273467,381.9,30,716,Public Toilet - Toilet 169 - Batman Park (2A Spencer Street),1.1,yes,no,1,1,0,1,1,0,40,Medium demand,Close toilet,41.0,Lower priority
162,Eli489_T,iHub 489 Elizabeth Street,-37.80740397,144.95987909,387574,541.3,30,716,Public Toilet - Toilet 34 - Franklin Street (Opposite 80 Franklin Street),96.1,yes,no,5,2,1,9,3,1,26,High demand,Close toilet,43.9,Lower priority
166,Spen484_T,484 Spencer Street,-37.80896733,144.94931703,39478,57.5,30,686,Public Toilet - Toilet 154 - Flagstaff Gardens (cnr William & Dudley),502.8,yes,no,0,0,0,0,0,0,93,Low demand,Longer distance,54.2,Medium priority
167,Lat526_T,I-Hub 526 La Trobe Street (Crossing),-37.81304149,144.95155955,23836,33.6,30,709,Public Toilet - Toilet 1 - Lonsdale Street (Opposite 581 Lonsdale Street),344.6,yes,no,0,0,0,1,1,0,96,Low demand,Longer distance,50.9,Medium priority
179,Pow61_T,61-67 Power Street Southbank,-37.82392385,144.96299677,57092,79.6,30,717,Public Toilet - Toilet 172 - Southbank Promenade (opposite Esso House),412.5,yes,no,0,0,0,1,1,0,85,Low demand,Longer distance,57.2,Medium priority
182,King163_T,163 King Street,-37.81627451,144.95550503,235190,326.7,30,720,Public Toilet - Toilet 1 - Lonsdale Street (Opposite 581 Lonsdale Street),217.2,yes,no,1,1,0,3,3,0,47,Medium demand,Moderate distance,56.8,Medium priority
184,Eli124_T,124 Elizabeth Street,-37.81512416,144.96371988,686000,952.8,30,720,Public Toilet - Toilet 6 - Elizabeth Street (Toilet Adjacent 200 Elizabeth Street),153.1,no,no,4,2,1,8,6,1,10,High demand,Moderate distance,58.6,Medium priority
187,Swa330_T,RMIT Building 22 - 330 Swanston Street,-37.80942561,144.96395473,222466,309.4,30,719,Public Toilet - Toilet 7 - Latrobe Street (Adjacent 120 La Trobe Street),158.2,no,no,1,0,0,7,2,0,48,Medium demand,Moderate distance,60.7,Medium priority
211,SouthB_T,Southbank Promenade - Building Side,-37.82020539,144.96499384,370834,517.9,30,716,Public Toilet - Toilet 172 - Southbank Promenade (opposite Esso House),69.7,yes,no,2,2,0,3,3,0,28,High demand,Close toilet,49.6,Lower priority
212,SouthB_T,Southbank Promenade - Riverside,-37.82025374,144.96501549,545888,758.2,30,720,Public Toilet - Toilet 172 - Southbank Promenade (opposite Esso House),70.6,yes,no,2,2,0,3,3,0,14,High demand,Close toilet,57.1,Medium priority
